ID	prefectureJa	prefectureEn	2005	2010	2014
01	北海道	Hokkaido	181	237	331
02	青森県	Aomori-ken	93	90	102
03	岩手県	Iwate-ken	63	73	80
04	宮城県	Miyagi-ken	60	78	101
05	秋田県	Akita-ken	50	60	64
06	山形県	Yamagata-ken	43	74	90
07	福島県	Fukushima-ken	49	72	86
08	茨城県	Ibaraki-ken	114	192	245
09	栃木県	Tochigi-ken	54	85	96
10	群馬県	Gumma-ken	79	122	126
11	埼玉県	Saitama-ken	153	320	414
12	千葉県	Chiba-ken	90	206	279
13	東京都	Tokyo-to	33	236	324
14	神奈川県	Kanagawa-ken	118	182	227
15	新潟県	Niigata-ken	120	175	202
16	富山県	Toyama-ken	34	63	74
17	石川県	Ishikawa-ken	60	76	90
18	福井県	Fukui-ken	32	51	53
19	山梨県	Yamanashi-ken	30	60	66
20	長野県	Nagano-ken	54	125	142
21	岐阜県	Gifu-ken	76	102	119
22	静岡県	Shizuoka-ken	174	246	231
23	愛知県	Aichi-ken	93	234	319
24	三重県	Mie-ken	80	93	110
25	滋賀県	Shiga-ken	42	74	87
26	京都府	Kyoto-fu	61	227	254
27	大阪府	Osaka-fu	150	356	392
28	兵庫県	Hyogo-ken	43	274	299
29	奈良県	Nara-ken	25	60	71
30	和歌山県	Wakayama-ken	29	42	50
31	鳥取県	Tottori-ken	40	44	48
32	島根県	Shimane-ken	29	42	43
33	岡山県	Okayama-ken	60	97	110
34	広島県	Hiroshima-ken	79	108	130
35	山口県	Yamaguchi-ken	77	95	102
36	徳島県	Tokushima-ken	30	36	44
37	香川県	Kagawa-ken	49	70	85
38	愛媛県	Ehime-ken	40	69	78
39	高知県	Kochi-ken	31	36	40
40	福岡県	Fukuoka-ken	69	135	151
41	佐賀県	Saga-ken	27	36	48
42	長崎県	Nagasaki-ken	77	91	104
43	熊本県	Kumamoto-ken	90	115	119
44	大分県	Oita-ken	32	61	69
45	宮崎県	Miyazaki-ken	36	56	67
46	鹿児島県	Kagoshima-ken	54	71	87
47	沖縄県	Okinawa-ken	46	74	89