prefecture	H27	H26	H25	H24	H23
千代田区	0	0	4	0	3
中央区	119	135	193	79	40
港区	30	45	195	175	265
新宿区	168	152	176	98	92
文京区	69	104	96	111	98
台東区	170	126	46	66	38
墨田区	76	157	181	105	104
江東区	167	315	416	253	273
品川区	215	128	62	50	61
目黒区	294	247	132	143	59
大田区	154	613	438	392	396
世田谷区	1182	1109	884	786	688
渋谷区	252	120	73	135	128
中野区	172	241	147	114	135
杉並区	42	116	285	52	71
豊島区	209	240	270	129	171
北区	160	69	125	33	38
荒川区	48	8	37	46	39
板橋区	378	515	417	342	341
練馬区	176	487	578	523	564
足立区	322	330	294	397	485
葛飾区	252	111	38	74	145
江戸川区	347	298	192	211	272
八王子市	144	231	253	375	468
立川市	183	95	88	77	119
武蔵野市	127	208	181	120	104
三鷹市	209	179	160	128	197
青梅市	20	29	19	24	45
府中市	352	233	181	182	252
昭島市	51	65	46	46	49
調布市	296	288	249	180	225
町田市	153	203	257	293	435
小金井市	164	257	188	138	115
小平市	178	167	174	179	133
日野市	164	188	155	153	122
東村山市	32	97	81	195	222
国分寺市	88	77	53	19	39
国立市	99	34	32	44	37
福生市	6	5	0	25	11
狛江市	175	99	47	79	73
東大和市	4	14	79	64	64
清瀬市	45	40	52	53	18
東久留米市	87	84	120	104	107
武蔵村山市	11	21	46	44	42
多摩市	49	116	75	140	172
稲城市	0	33	50	43	51
羽村市	0	3	6	10	7
あきる野市	12	31	35	16	38
西東京市	143	193	184	190	194
瑞穂町	20	7	1	0	9
日の出町	0	9	26	21	1
檜原村	0	0	0	0	0
奥多摩町	0	0	0	0	0
大島町	0	0	0	0	0
利島村	0	0	0	0	0
新島村	0	0	0	0	0
神津島村	0	0	0	0	0
三宅村	0	0	0	0	0
御蔵島村	0	0	0	0	0
八丈町	0	0	0	1	0
青ヶ島村	0	0	0	0	0
小笠原村	0	0	0	0	0